Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8499768k free), swap 19208636k(3937772k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2022-01-17T02:06:07.462+0800: 0.399: [GC (Allocation Failure) 2022-01-17T02:06:07.463+0800: 0.399: [DefNew: 1118528K->139776K(1258304K), 0.0730815 secs] 1118528K->251645K(4054528K), 0.0732310 secs] [Times: user=0.00 sys=0.06, real=0.07 secs] 
2022-01-17T02:06:07.648+0800: 0.584: [GC (Allocation Failure) 2022-01-17T02:06:07.648+0800: 0.585: [DefNew: 1258304K->139775K(1258304K), 0.0860122 secs] 1370173K->409412K(4054528K), 0.0860770 secs] [Times: user=0.03 sys=0.06, real=0.09 secs] 
2022-01-17T02:06:07.840+0800: 0.777: [GC (Allocation Failure) 2022-01-17T02:06:07.840+0800: 0.777: [DefNew: 1258303K->139775K(1258304K), 0.0631678 secs] 1527940K->549746K(4054528K), 0.0632193 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2022-01-17T02:06:08.011+0800: 0.948: [GC (Allocation Failure) 2022-01-17T02:06:08.011+0800: 0.948: [DefNew: 1258303K->139775K(1258304K), 0.0642154 secs] 1668274K->712709K(4054528K), 0.0642783 secs] [Times: user=0.02 sys=0.05, real=0.06 secs] 
2022-01-17T02:06:08.186+0800: 1.122: [GC (Allocation Failure) 2022-01-17T02:06:08.186+0800: 1.122: [DefNew: 1258303K->139776K(1258304K), 0.0586303 secs] 1831237K->859759K(4054528K), 0.0586975 secs] [Times: user=0.00 sys=0.06, real=0.06 secs] 
2022-01-17T02:06:08.351+0800: 1.287: [GC (Allocation Failure) 2022-01-17T02:06:08.351+0800: 1.287: [DefNew: 1258304K->139775K(1258304K), 0.0613026 secs] 1978287K->1015512K(4054528K), 0.0613703 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2022-01-17T02:06:08.515+0800: 1.451: [GC (Allocation Failure) 2022-01-17T02:06:08.515+0800: 1.451: [DefNew: 1258303K->139775K(1258304K), 0.0594416 secs] 2134040K->1163568K(4054528K), 0.0594998 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T02:06:08.672+0800: 1.608: [GC (Allocation Failure) 2022-01-17T02:06:08.672+0800: 1.608: [DefNew: 1258303K->139776K(1258304K), 0.0619557 secs] 2282096K->1318098K(4054528K), 0.0620197 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T02:06:08.849+0800: 1.786: [GC (Allocation Failure) 2022-01-17T02:06:08.850+0800: 1.786: [DefNew: 1258304K->139775K(1258304K), 0.0677815 secs] 2436626K->1477191K(4054528K), 0.0678567 secs] [Times: user=0.05 sys=0.03, real=0.07 secs] 
2022-01-17T02:06:09.030+0800: 1.967: [GC (Allocation Failure) 2022-01-17T02:06:09.030+0800: 1.967: [DefNew: 1258303K->139776K(1258304K), 0.0660580 secs] 2595719K->1637457K(4054528K), 0.0661190 secs] [Times: user=0.03 sys=0.03, real=0.07 secs] 
2022-01-17T02:06:09.200+0800: 2.137: [GC (Allocation Failure) 2022-01-17T02:06:09.200+0800: 2.137: [DefNew: 1258304K->139775K(1258304K), 0.0627357 secs] 2755985K->1795407K(4054528K), 0.0627991 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2022-01-17T02:06:09.368+0800: 2.305: [GC (Allocation Failure) 2022-01-17T02:06:09.368+0800: 2.305: [DefNew: 1258303K->139776K(1258304K), 0.0569077 secs] 2913935K->1936213K(4054528K), 0.0569694 secs] [Times: user=0.01 sys=0.03, real=0.06 secs] 
2022-01-17T02:06:09.524+0800: 2.461: [GC (Allocation Failure) 2022-01-17T02:06:09.524+0800: 2.461: [DefNew: 1258304K->139775K(1258304K), 0.0619136 secs] 3054741K->2088631K(4054528K), 0.0619749 secs] [Times: user=0.05 sys=0.02, real=0.06 secs] 
2022-01-17T02:06:09.691+0800: 2.627: [GC (Allocation Failure) 2022-01-17T02:06:09.691+0800: 2.627: [DefNew: 1258303K->139775K(1258304K), 0.0606645 secs] 3207159K->2238637K(4054528K), 0.0607259 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T02:06:09.856+0800: 2.793: [GC (Allocation Failure) 2022-01-17T02:06:09.856+0800: 2.793: [DefNew: 1258303K->139776K(1258304K), 0.0633895 secs] 3357165K->2400393K(4054528K), 0.0635222 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
