Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8491116k free), swap 19208636k(3951692k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:23:58.047+0800: 0.105: [GC (Allocation Failure) [PSYoungGen: 131584K->21496K(153088K)] 131584K->40901K(502784K), 0.0053759 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.067+0800: 0.125: [GC (Allocation Failure) [PSYoungGen: 153080K->21496K(153088K)] 172485K->84730K(502784K), 0.0085028 secs] [Times: user=0.05 sys=0.11, real=0.01 secs] 
2022-01-17T00:23:58.088+0800: 0.146: [GC (Allocation Failure) [PSYoungGen: 153080K->21492K(153088K)] 216314K->133243K(502784K), 0.0087647 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.111+0800: 0.169: [GC (Allocation Failure) [PSYoungGen: 153076K->21501K(153088K)] 264827K->168369K(502784K), 0.0071276 secs] [Times: user=0.00 sys=0.16, real=0.01 secs] 
2022-01-17T00:23:58.131+0800: 0.189: [GC (Allocation Failure) [PSYoungGen: 152612K->21496K(153088K)] 299480K->213072K(502784K), 0.0082350 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.152+0800: 0.211: [GC (Allocation Failure) [PSYoungGen: 153080K->21487K(153088K)] 344656K->255373K(502784K), 0.0075192 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.173+0800: 0.231: [GC (Allocation Failure) [PSYoungGen: 153071K->21495K(153088K)] 386957K->295846K(502784K), 0.0075954 secs] [Times: user=0.08 sys=0.08, real=0.01 secs] 
2022-01-17T00:23:58.193+0800: 0.251: [GC (Allocation Failure) [PSYoungGen: 153079K->21486K(153088K)] 427430K->339953K(502784K), 0.0083783 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.201+0800: 0.259: [Full GC (Ergonomics) [PSYoungGen: 21486K->0K(153088K)] [ParOldGen: 318466K->239513K(349696K)] 339953K->239513K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0282936 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T00:23:58.243+0800: 0.301: [GC (Allocation Failure) [PSYoungGen: 131584K->21499K(153088K)] 371097K->281913K(502784K), 0.0050832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:58.261+0800: 0.319: [GC (Allocation Failure) [PSYoungGen: 152703K->21496K(153088K)] 413117K->323996K(502784K), 0.0071304 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.268+0800: 0.326: [Full GC (Ergonomics) [PSYoungGen: 21496K->0K(153088K)] [ParOldGen: 302499K->263738K(349696K)] 323996K->263738K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0290506 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T00:23:58.310+0800: 0.368: [GC (Allocation Failure) [PSYoungGen: 131304K->21502K(153088K)] 395043K->309341K(502784K), 0.0050759 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.328+0800: 0.386: [GC (Allocation Failure) [PSYoungGen: 152715K->21501K(153088K)] 440554K->351476K(502784K), 0.0074148 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:58.335+0800: 0.393: [Full GC (Ergonomics) [PSYoungGen: 21501K->0K(153088K)] [ParOldGen: 329974K->296245K(349696K)] 351476K->296245K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0321386 secs] [Times: user=0.45 sys=0.02, real=0.03 secs] 
2022-01-17T00:23:58.382+0800: 0.440: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 296245K->313377K(349696K)] 427829K->313377K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0371525 secs] [Times: user=0.41 sys=0.02, real=0.04 secs] 
2022-01-17T00:23:58.436+0800: 0.493: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 313377K->315486K(349696K)] 444961K->315486K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0370872 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.487+0800: 0.545: [Full GC (Ergonomics) [PSYoungGen: 131175K->0K(153088K)] [ParOldGen: 315486K->322262K(349696K)] 446662K->322262K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0383250 secs] [Times: user=0.41 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.538+0800: 0.596: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 322262K->333047K(349696K)] 453846K->333047K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0381442 secs] [Times: user=0.28 sys=0.02, real=0.04 secs] 
2022-01-17T00:23:58.590+0800: 0.648: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 333047K->339724K(349696K)] 464631K->339724K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0385449 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.643+0800: 0.701: [Full GC (Ergonomics) [PSYoungGen: 131465K->0K(153088K)] [ParOldGen: 339724K->337360K(349696K)] 471189K->337360K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0370507 secs] [Times: user=0.31 sys=0.02, real=0.04 secs] 
2022-01-17T00:23:58.693+0800: 0.751: [Full GC (Ergonomics) [PSYoungGen: 131351K->0K(153088K)] [ParOldGen: 337360K->338234K(349696K)] 468711K->338234K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0369770 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.742+0800: 0.800: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 338234K->345748K(349696K)] 469818K->345748K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0374835 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.792+0800: 0.850: [Full GC (Ergonomics) [PSYoungGen: 131584K->2940K(153088K)] [ParOldGen: 345748K->349346K(349696K)] 477332K->352287K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0381135 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
