Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8612896k free), swap 26821728k(11591356k free)
CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:MaxNewSize=872415232 -XX:MaxTenuringThreshold=6 -XX:NewSize=872415232 -XX:OldPLABSize=16 -XX:OldSize=1744830464 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2022-01-17T00:26:40.029+0800: 0.279: [GC (Allocation Failure) 2022-01-17T00:26:40.029+0800: 0.279: [ParNew: 681600K->85184K(766784K), 0.0279730 secs] 681600K->182022K(8303424K), 0.0281187 secs] [Times: user=0.17 sys=0.14, real=0.03 secs] 
2022-01-17T00:26:40.134+0800: 0.384: [GC (Allocation Failure) 2022-01-17T00:26:40.134+0800: 0.384: [ParNew: 766784K->85183K(766784K), 0.0350950 secs] 863622K->323470K(8303424K), 0.0351586 secs] [Times: user=0.13 sys=0.17, real=0.03 secs] 
2022-01-17T00:26:40.241+0800: 0.491: [GC (Allocation Failure) 2022-01-17T00:26:40.241+0800: 0.491: [ParNew: 766783K->85184K(766784K), 0.0621540 secs] 1005070K->464194K(8303424K), 0.0622263 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:40.366+0800: 0.616: [GC (Allocation Failure) 2022-01-17T00:26:40.366+0800: 0.616: [ParNew: 766784K->85184K(766784K), 0.0580685 secs] 1145794K->598937K(8303424K), 0.0581348 secs] [Times: user=0.58 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:40.488+0800: 0.738: [GC (Allocation Failure) 2022-01-17T00:26:40.488+0800: 0.738: [ParNew: 766784K->85184K(766784K), 0.0654780 secs] 1280537K->738447K(8303424K), 0.0655550 secs] [Times: user=0.61 sys=0.02, real=0.07 secs] 
2022-01-17T00:26:40.619+0800: 0.869: [GC (Allocation Failure) 2022-01-17T00:26:40.619+0800: 0.869: [ParNew: 766784K->85184K(766784K), 0.0596546 secs] 1420047K->877029K(8303424K), 0.0597238 secs] [Times: user=0.47 sys=0.00, real=0.06 secs] 
2022-01-17T00:26:40.741+0800: 0.992: [GC (Allocation Failure) 2022-01-17T00:26:40.741+0800: 0.992: [ParNew: 766784K->85184K(766784K), 0.0630073 secs] 1558629K->1021189K(8303424K), 0.0630844 secs] [Times: user=0.59 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:40.872+0800: 1.122: [GC (Allocation Failure) 2022-01-17T00:26:40.872+0800: 1.122: [ParNew: 766784K->85183K(766784K), 0.0575102 secs] 1702789K->1158995K(8303424K), 0.0575786 secs] [Times: user=0.45 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:40.998+0800: 1.247: [GC (Allocation Failure) 2022-01-17T00:26:40.998+0800: 1.247: [ParNew: 766783K->85183K(766784K), 0.0632057 secs] 1840595K->1297896K(8303424K), 0.0632552 secs] [Times: user=0.53 sys=0.06, real=0.06 secs] 
2022-01-17T00:26:41.131+0800: 1.381: [GC (Allocation Failure) 2022-01-17T00:26:41.131+0800: 1.381: [ParNew: 766315K->85183K(766784K), 0.0624583 secs] 1979028K->1438531K(8303424K), 0.0625114 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:41.259+0800: 1.509: [GC (Allocation Failure) 2022-01-17T00:26:41.259+0800: 1.509: [ParNew: 766783K->85183K(766784K), 0.0571496 secs] 2120131K->1577672K(8303424K), 0.0572027 secs] [Times: user=0.44 sys=0.02, real=0.06 secs] 
2022-01-17T00:26:41.379+0800: 1.629: [GC (Allocation Failure) 2022-01-17T00:26:41.379+0800: 1.629: [ParNew: 766783K->85183K(766784K), 0.0604023 secs] 2259272K->1721322K(8303424K), 0.0604705 secs] [Times: user=0.56 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:41.501+0800: 1.751: [GC (Allocation Failure) 2022-01-17T00:26:41.501+0800: 1.751: [ParNew: 766783K->85183K(766784K), 0.0578298 secs] 2402922K->1859022K(8303424K), 0.0578928 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:41.619+0800: 1.869: [GC (Allocation Failure) 2022-01-17T00:26:41.619+0800: 1.870: [ParNew: 766783K->85183K(766784K), 0.0580207 secs] 2540622K->1997982K(8303424K), 0.0580876 secs] [Times: user=0.42 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:41.741+0800: 1.991: [GC (Allocation Failure) 2022-01-17T00:26:41.741+0800: 1.991: [ParNew: 766783K->85183K(766784K), 0.0571171 secs] 2679582K->2134366K(8303424K), 0.0572322 secs] [Times: user=0.56 sys=0.06, real=0.06 secs] 
2022-01-17T00:26:41.861+0800: 2.111: [GC (Allocation Failure) 2022-01-17T00:26:41.861+0800: 2.111: [ParNew: 766783K->85183K(766784K), 0.0528760 secs] 2815966K->2254537K(8303424K), 0.0529433 secs] [Times: user=0.61 sys=0.01, real=0.05 secs] 
2022-01-17T00:26:41.975+0800: 2.225: [GC (Allocation Failure) 2022-01-17T00:26:41.975+0800: 2.225: [ParNew: 766783K->85183K(766784K), 0.0564229 secs] 2936137K->2389516K(8303424K), 0.0564910 secs] [Times: user=0.58 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:42.093+0800: 2.343: [GC (Allocation Failure) 2022-01-17T00:26:42.093+0800: 2.343: [ParNew: 766783K->85183K(766784K), 0.0609229 secs] 3071116K->2537665K(8303424K), 0.0609885 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:42.213+0800: 2.464: [GC (Allocation Failure) 2022-01-17T00:26:42.213+0800: 2.464: [ParNew: 766783K->85183K(766784K), 0.0629117 secs] 3219265K->2674907K(8303424K), 0.0629858 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:42.344+0800: 2.594: [GC (Allocation Failure) 2022-01-17T00:26:42.344+0800: 2.594: [ParNew: 766783K->85182K(766784K), 0.0655305 secs] 3356507K->2814821K(8303424K), 0.0655968 secs] [Times: user=0.52 sys=0.03, real=0.07 secs] 
2022-01-17T00:26:42.476+0800: 2.726: [GC (Allocation Failure) 2022-01-17T00:26:42.476+0800: 2.726: [ParNew: 766782K->85183K(766784K), 0.0597862 secs] 3496421K->2942170K(8303424K), 0.0598546 secs] [Times: user=0.52 sys=0.05, real=0.06 secs] 
2022-01-17T00:26:42.596+0800: 2.847: [GC (Allocation Failure) 2022-01-17T00:26:42.596+0800: 2.847: [ParNew: 766783K->85183K(766784K), 0.0592536 secs] 3623770K->3088449K(8303424K), 0.0593184 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
2022-01-17T00:26:42.717+0800: 2.967: [GC (Allocation Failure) 2022-01-17T00:26:42.717+0800: 2.967: [ParNew: 766783K->85182K(766784K), 0.0603066 secs] 3770049K->3236268K(8303424K), 0.0603708 secs] [Times: user=0.55 sys=0.06, real=0.06 secs] 
Heap
 par new generation   total 766784K, used 617413K [0x00000005c0000000, 0x00000005f4000000, 0x00000005f4000000)
  eden space 681600K,  78% used [0x00000005c0000000, 0x00000005e07c1920, 0x00000005e99a0000)
  from space 85184K,  99% used [0x00000005eecd0000, 0x00000005f3fffb58, 0x00000005f4000000)
  to   space 85184K,   0% used [0x00000005e99a0000, 0x00000005e99a0000, 0x00000005eecd0000)
 concurrent mark-sweep generation total 7536640K, used 3151085K [0x00000005f4000000, 0x00000007c0000000, 0x00000007c0000000)
 Metaspace       used 2716K, capacity 4490K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
